epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,5286.71,0.23401,0.1672,0.77902,0.99947,0.99944,0.995,0.8771,0.60402,0.23615,0.86435,0.000191875,0.000191875,0.000191875
72,5361.44,0.22866,0.16259,0.77977,0.99951,0.99952,0.995,0.87015,0.62384,0.24111,0.87439,0.000185688,0.000185688,0.000185688
73,5435.98,0.22937,0.16404,0.77933,0.99923,0.9991,0.995,0.87084,0.62909,0.24455,0.87167,0.0001795,0.0001795,0.0001795
74,5509.72,0.22808,0.16359,0.77895,0.99934,0.99956,0.995,0.8758,0.60525,0.23795,0.86585,0.000173313,0.000173313,0.000173313
75,5584,0.22708,0.16291,0.77939,0.99956,0.99917,0.995,0.87415,0.61191,0.23562,0.86739,0.000167125,0.000167125,0.000167125
76,5658.52,0.22562,0.16109,0.77911,0.99876,0.99931,0.99476,0.87332,0.62019,0.24002,0.87245,0.000160938,0.000160938,0.000160938
77,5733.82,0.2238,0.15876,0.7775,0.99847,0.99969,0.99487,0.87083,0.62863,0.24066,0.87656,0.00015475,0.00015475,0.00015475
78,5808.94,0.22331,0.15919,0.77731,0.99896,0.99923,0.99485,0.87075,0.63205,0.24216,0.8764,0.000148563,0.000148563,0.000148563
79,5883.82,0.22136,0.15762,0.77879,0.99888,0.99951,0.995,0.87197,0.62867,0.2387,0.87165,0.000142375,0.000142375,0.000142375
80,5960.45,0.22154,0.15784,0.77934,0.9996,0.99973,0.995,0.87562,0.61622,0.23647,0.86848,0.000136187,0.000136187,0.000136187
81,6035.62,0.22426,0.15942,0.77944,0.99906,0.99953,0.995,0.87608,0.61127,0.23337,0.87211,0.00013,0.00013,0.00013
82,6109.91,0.22166,0.15624,0.77878,0.99961,0.99954,0.995,0.87351,0.62046,0.23611,0.87368,0.000123812,0.000123812,0.000123812
83,6185.32,0.21935,0.1536,0.77897,0.9993,0.99973,0.995,0.87366,0.62187,0.23663,0.87439,0.000117625,0.000117625,0.000117625
84,6260.57,0.2222,0.15645,0.77739,0.99963,0.99962,0.995,0.87545,0.62007,0.23511,0.87179,0.000111438,0.000111438,0.000111438
85,6334.51,0.21813,0.15461,0.77731,0.99874,0.99961,0.9949,0.86851,0.64187,0.24399,0.87327,0.00010525,0.00010525,0.00010525
86,6408.79,0.22111,0.15537,0.77702,0.99963,0.99978,0.995,0.86955,0.62829,0.2368,0.87215,9.90625e-05,9.90625e-05,9.90625e-05
87,6482.52,0.21986,0.15441,0.77766,0.99954,0.99976,0.995,0.8728,0.61981,0.23522,0.87422,9.2875e-05,9.2875e-05,9.2875e-05
88,6556.44,0.21531,0.15178,0.77695,0.99965,0.99965,0.995,0.87023,0.62834,0.23752,0.87477,8.66875e-05,8.66875e-05,8.66875e-05
89,6630.8,0.21553,0.15048,0.77788,0.99945,0.99956,0.995,0.86981,0.6345,0.23924,0.87468,8.05e-05,8.05e-05,8.05e-05
90,6704.63,0.21391,0.14837,0.77756,0.99917,0.9996,0.995,0.87031,0.62828,0.23683,0.8733,7.43125e-05,7.43125e-05,7.43125e-05
91,6783.37,0.19034,0.13069,0.76608,0.99958,0.99969,0.995,0.87201,0.62627,0.23597,0.87657,6.8125e-05,6.8125e-05,6.8125e-05
92,6856.9,0.18619,0.1274,0.7652,0.99959,0.99974,0.995,0.86788,0.63895,0.2388,0.87795,6.19375e-05,6.19375e-05,6.19375e-05
93,6929.8,0.18344,0.12651,0.76596,0.99967,0.99961,0.995,0.87368,0.62321,0.23413,0.87646,5.575e-05,5.575e-05,5.575e-05
94,7001.45,0.18419,0.12696,0.76681,0.99971,0.99969,0.995,0.87468,0.62192,0.23315,0.87824,4.95625e-05,4.95625e-05,4.95625e-05
95,7073.37,0.18274,0.12489,0.76506,0.99965,0.99975,0.995,0.87356,0.62888,0.23369,0.87806,4.3375e-05,4.3375e-05,4.3375e-05
96,7145.89,0.18545,0.12681,0.7653,0.99959,0.99961,0.995,0.87415,0.61926,0.23346,0.87442,3.71875e-05,3.71875e-05,3.71875e-05
97,7218.2,0.1798,0.12286,0.76473,0.99961,0.99979,0.995,0.87476,0.61941,0.23238,0.87431,3.1e-05,3.1e-05,3.1e-05
98,7290.1,0.17919,0.12109,0.76469,0.99965,0.99978,0.995,0.87348,0.62205,0.23228,0.87453,2.48125e-05,2.48125e-05,2.48125e-05
99,7362.17,0.17866,0.12091,0.76486,0.99965,0.99974,0.995,0.87485,0.61875,0.23106,0.87335,1.8625e-05,1.8625e-05,1.8625e-05
100,7433.89,0.17869,0.1209,0.76517,0.99966,0.99975,0.995,0.87344,0.62411,0.23326,0.87474,1.24375e-05,1.24375e-05,1.24375e-05
